Title,Year published,Categories,Sub Cat,Mutliplayer,Rating,Image,Game Description
4D Sports Tennis,1990,Sports,N/A,FALSE,7/10,https://upload.wikimedia.org/wikipedia/en/e/e7/World_Tennis_Championships.jpg,a 3D Tennis computer game with motion capture animation of the 4D Sports series. 
9 Lives,1990,Platform,N/A,FALSE,9/10,https://upload.wikimedia.org/wikipedia/en/6/61/9_Lives_1990_Atari_ST_Cover_Art.jpg,"a 1990 platform video game released for the Amiga and Atari ST developed by ARC, a software division of Atari. The player takes the role of Bob Cat, who must rescue Claudette from a mad scientist who kidnapped her."
1941: Counter Attack,1990,Action,Vertically scrolling shooter,TRUE,8/10,https://upload.wikimedia.org/wikipedia/en/a/ab/1941_-_Counter_Attack_arcade_flyer.jpg,"a vertical scrolling shooter arcade game by Capcom. The goal is to shoot down enemy airplanes and collect weapon power-ups (POW). The game uses a vitality system instead of life system in which if the player is hit, it loses one point of vitality and the player is destroyed if hit with 0 vitality then the player is given the option to continue."
A.B. Cop,1990,Racing,vehicular combat,FALSE,6/10,https://upload.wikimedia.org/wikipedia/en/b/b4/A.B._Cop_arcade_flyer.jpg,The player takes on the role of the A.B. (Air Bike) Cop who must chase down and destroy the perpetrators of various crimes (which changes every level) before the time limit expires.
Action Stations!,1990,Strategy,Turn-based strategy,FALSE,7/10,https://upload.wikimedia.org/wikipedia/en/c/c6/Action_Stations%21_cover.jpg,Action Stations! is a game in which the focus is the involvement of surface officers in conducting war at sea. Each player gives orders to their ships for the next 3 minutes of game time. The orders are then executed simultaneously.
ActRaiser,1990,"Platform, 	Role-playing","City-Building, Action RPG, God Game",FALSE,8/10,https://upload.wikimedia.org/wikipedia/en/4/42/ActRaiser_Coverart.png,"a 1990 hybrid platformer, god game, and city-building game with light action RPG elements for the Super Nintendo Entertainment System developed by Quintet and published by Enix, combining traditional side-scrolling platforming with urban planning god game sections."
Adidas Championship Football,1990,Sports,N/A,FALSE,3/10,https://upload.wikimedia.org/wikipedia/en/2/28/Adidas_Championship_Football.jpg,a soccer video game developed by Ocean Software in 1990
Advanced Destroyer Simulator,1990,Simulation,N/A,FALSE,7/10,https://upload.wikimedia.org/wikipedia/en/0/0c/Advanced_Destroyer_Simulator.jpg,"a naval-based video game, published by Futura Games for the Amiga, Atari ST, Amstrad CPC, and MS-DOS in 1990. Players are able to maneuver and carry out a variety of ship functions manually. The player faces various types of enemy ships and aircraft."
Adventures in the Magic Kingdom,1990,Action,N/A,FALSE,5/10,https://upload.wikimedia.org/wikipedia/en/c/ce/Adventures_in_the_Magic_Kingdom.png,"The game places the player as a nameless main character, for whom the player can enter a name at the start of the game, into a hub-and-spoke Disney park heavily based on the company's Disneyland, Magic Kingdom, and Tokyo Disneyland parks. Goofy left the golden key for the castle gate inside, and Mickey Mouse asks for the player's help to find six silver keys needed to open the Cinderella Castle gate and allow the Disney parade to begin. After completing this task, Mickey congratulates the player and the parade begins."
The Adventures of Gilligan's Island,1990,"Action, Strategy",N/A,FALSE,8/10,https://upload.wikimedia.org/wikipedia/en/9/92/GilligansIslandNESBoxArt.jpg,"The player controls the Skipper and is followed around by Gilligan, who is controlled by the computer."
