Title,Rating,Year published,Game Description
4D Sports Tennis,7/10,1990,a 3D Tennis computer game with motion capture animation of the 4D Sports series. 
9 Lives,9/10,1990," a 1990 platform video game released for the Amiga and Atari ST developed by ARC, a software division of Atari. The player takes the role of Bob Cat, who must rescue Claudette from a mad scientist who kidnapped her."
,,,
1941: Counter Attack,8/10,1990,"a vertical scrolling shooter arcade game by Capcom. The goal is to shoot down enemy airplanes and collect weapon power-ups (POW). The game uses a vitality system instead of life system in which if the player is hit, it loses one point of vitality and the player is destroyed if hit with 0 vitality then the player is given the option to continue."
A.B. Cop,6/10,1990,The player takes on the role of the A.B. (Air Bike) Cop who must chase down and destroy the perpetrators of various crimes (which changes every level) before the time limit expires.
Action Stations!,7/10,1990,"Action Stations! is a game in which the focus is the involvement of surface officers in conducting war at sea.

Each player gives orders to their ships for the next 3 minutes of game time. The orders are then executed simultaneously."
ActRaiser,8/10,1990,"a 1990 hybrid platformer, god game, and city-building game with light action RPG elements for the Super Nintendo Entertainment System developed by Quintet and published by Enix, combining traditional side-scrolling platforming with urban planning god game sections."
Adidas Championship Football,3/10,1990,a soccer video game developed by Ocean Software in 1990
Advanced Destroyer Simulator,7/10,1990,"a naval-based video game, published by Futura Games for the Amiga, Atari ST, Amstrad CPC, and MS-DOS in 1990. Players are able to maneuver and carry out a variety of ship functions manually. The player faces various types of enemy ships and aircraft."
Adventures in the Magic Kingdom,5/10,1990," The game places the player as a nameless main character, for whom the player can enter a name at the start of the game, into a hub-and-spoke Disney park heavily based on the company's Disneyland, Magic Kingdom, and Tokyo Disneyland parks. Goofy left the golden key for the castle gate inside, and Mickey Mouse asks for the player's help to find six silver keys needed to open the Cinderella Castle gate and allow the Disney parade to begin. After completing this task, Mickey congratulates the player and the parade begins."
The Adventures of Gilligan's Island,8/10,1990,"The player controls the Skipper and is followed around by Gilligan, who is controlled by the computer."
Adventures of Lolo 2,7/10,1990,a puzzle video game released in 1990 by HAL Laboratory for the Nintendo Entertainment System. It is the seventh installment of the Japanese Eggerland video game series
Adventures of Lolo 3,8/10,1990, a puzzle video game developed and published by HAL Laboratory for the Nintendo Entertainment System. It is based on the Japanese Eggerland video game series. It is the ninth installment of the Japanese Eggerland video game series
The Adventures of Rad Gravity,7/10,1990,an action-adventure platform game for the Nintendo Entertainment System developed by Interplay and published by Activision in 1990. Rad Gravity is the name of the game's hero.
Aerial Assault,8/10,1990,"a side-scrolling shooter video game published by Sega for the Master System in 1990. The player takes the role of a Freedom Fighter who must destroy five targets, including the Vinsk (a flying battleship in the Game Gear version, an ordinary ship in the Master System), the CB-53 Bomber, ""El"", and two cliff fortresses."
After Burst,7.5/10,1990,"Players must control a combat robot with the ultimate goal of destroying the enemy orb. Each level only has one screen to blast hostile robots, solve challenging platforms, and manipulate a series of short puzzles."
Air Buster,8/10,1990,a 1990 horizontally scrolling shooter arcade video game developed by Kaneko. It was published by Namco in Japan and Sharp Image Electronics in North America
Air Diver,7/10,1990,a combat flight simulator video game released by Seismic (Asmik Ace Entertainment in Japan) in April 1990 for the Sega Genesis/Mega Drive console.
Air Duel,3/10,1990,"The player selects from a jet fighter or helicopter, shoot enemies in the air and ground, collect power-ups, and defeat bosses to advance levels."
Air Inferno,8/10,1990,"a 1990 flight simulation arcade video game developed and released by Taito, in Japan, Europe and North America."
Al Unser Jr.'s Turbo Racing,6/10,1990,"a racing video game for the Nintendo Entertainment System console released in 1990. he game is a racing video game. The player directs the car using the D-pad, accelerating with A and braking with B. The gauges, speed, and several other things can be seen at the bottom of the screen."
Alex Kidd in Shinobi World,8/10,1990,"a side-scrolling action game from Sega for the Master System in 1990. Alex Kidd's basic attack is a sword slice, which can be used not only to destroy enemies but also to open treasure chests. Inside such chests, the player can obtain items such as more health, throwing darts, a powered-up sword, extra lives, and a magic ball that will temporarily turn Alex Kidd into an invincible tornado. "
Alien Storm,7.5/10,1990,"Vicious predators from the far ends of the universe are invading our planet! They’re mean and wicked, creating havoc everywhere they go! Time for the aptly named “Alien Busters” to take control, get nasty and kick some serious martian butt!"
Back to the Future Part II,6/10,1990,"Back to the Future Part II features five levels based on scenes from the film. Marty McFly, his girlfriend Jennifer Parker, and Emmett ""Doc"" Brown time-travel from 1985 to 2015, to prevent the couple's future children from turning out badly. The game includes an introduction sequence that depicts the DeLorean time machine as it travels to 2015. The first level is a side-scroller in which Marty uses a hoverboard around Hill Valley and must avoid oncoming vehicles while evading Griff and his gang. The second level is played as a puzzle game in which Jennifer has wound up at the house where her future self resides. Playing from an overhead perspective, the player must guide Jennifer out of the house while preventing her from seeing her future self or her future family members"
Bad Company,7/10,1990,a computer game developed by Vectordean and originally published by Logotron in 1990
